I1031 14:15:05.316534 34310 convert_annoset.cpp:122] A total of 118287 images.
I1031 14:15:05.317431 34310 db_lmdb.cpp:35] Opened lmdb /data1/jeffhzhang/data/coco/lmdb/coco_train_lmdb
I1031 14:24:57.099650 34310 convert_annoset.cpp:195] Processed 49000 files.
I1031 14:25:08.632251 34310 convert_annoset.cpp:195] Processed 50000 files.
I1031 14:25:20.620354 34310 convert_annoset.cpp:195] Processed 51000 files.
I1031 14:25:32.793030 34310 convert_annoset.cpp:195] Processed 52000 files.
I1031 14:25:44.735986 34310 convert_annoset.cpp:195] Processed 53000 files.
I1031 14:25:56.758865 34310 convert_annoset.cpp:195] Processed 54000 files.
I1031 14:26:08.782546 34310 convert_annoset.cpp:195] Processed 55000 files.
I1031 14:26:20.440145 34310 convert_annoset.cpp:195] Processed 56000 files.
I1031 14:26:33.013707 34310 convert_annoset.cpp:195] Processed 57000 files.
I1031 14:26:44.843122 34310 convert_annoset.cpp:195] Processed 58000 files.
I1031 14:26:56.788514 34310 convert_annoset.cpp:195] Processed 59000 files.
I1031 14:27:09.043978 34310 convert_annoset.cpp:195] Processed 60000 files.
I1031 14:27:20.888712 34310 convert_annoset.cpp:195] Processed 61000 files.
I1031 14:27:34.403903 34310 convert_annoset.cpp:195] Processed 62000 files.
I1031 14:27:46.454511 34310 convert_annoset.cpp:195] Processed 63000 files.
I1031 14:27:59.062124 34310 convert_annoset.cpp:195] Processed 64000 files.
I1031 14:28:10.858176 34310 convert_annoset.cpp:195] Processed 65000 files.
I1031 14:28:22.957491 34310 convert_annoset.cpp:195] Processed 66000 files.
I1031 14:28:35.473711 34310 convert_annoset.cpp:195] Processed 67000 files.
I1031 14:28:47.149018 34310 convert_annoset.cpp:195] Processed 68000 files.
I1031 14:28:59.767006 34310 convert_annoset.cpp:195] Processed 69000 files.
I1031 14:29:11.532510 34310 convert_annoset.cpp:195] Processed 70000 files.
I1031 14:29:23.254782 34310 convert_annoset.cpp:195] Processed 71000 files.
I1031 14:29:35.745043 34310 convert_annoset.cpp:195] Processed 72000 files.
I1031 14:29:47.988126 34310 convert_annoset.cpp:195] Processed 73000 files.
I1031 14:30:00.593480 34310 convert_annoset.cpp:195] Processed 74000 files.
I1031 14:30:13.203395 34310 convert_annoset.cpp:195] Processed 75000 files.
I1031 14:30:26.331179 34310 convert_annoset.cpp:195] Processed 76000 files.
I1031 14:30:38.712589 34310 convert_annoset.cpp:195] Processed 77000 files.
I1031 14:30:51.812412 34310 convert_annoset.cpp:195] Processed 78000 files.
I1031 14:31:04.202267 34310 convert_annoset.cpp:195] Processed 79000 files.
I1031 14:31:17.099728 34310 convert_annoset.cpp:195] Processed 80000 files.
I1031 14:31:30.238761 34310 convert_annoset.cpp:195] Processed 81000 files.
I1031 14:31:43.469826 34310 convert_annoset.cpp:195] Processed 82000 files.
I1031 14:31:56.409267 34310 convert_annoset.cpp:195] Processed 83000 files.
I1031 14:32:09.210345 34310 convert_annoset.cpp:195] Processed 84000 files.
I1031 14:32:22.298579 34310 convert_annoset.cpp:195] Processed 85000 files.
I1031 14:32:37.086153 34310 convert_annoset.cpp:195] Processed 86000 files.
I1031 14:32:50.383334 34310 convert_annoset.cpp:195] Processed 87000 files.
I1031 14:33:03.821076 34310 convert_annoset.cpp:195] Processed 88000 files.
I1031 14:33:17.405750 34310 convert_annoset.cpp:195] Processed 89000 files.
I1031 14:33:30.628962 34310 convert_annoset.cpp:195] Processed 90000 files.
I1031 14:33:44.346707 34310 convert_annoset.cpp:195] Processed 91000 files.
I1031 14:33:59.431773 34310 convert_annoset.cpp:195] Processed 92000 files.
I1031 14:34:13.142272 34310 convert_annoset.cpp:195] Processed 93000 files.
I1031 14:34:27.269920 34310 convert_annoset.cpp:195] Processed 94000 files.
I1031 14:34:41.773133 34310 convert_annoset.cpp:195] Processed 95000 files.
I1031 14:34:55.413197 34310 convert_annoset.cpp:195] Processed 96000 files.
I1031 14:35:10.479527 34310 convert_annoset.cpp:195] Processed 97000 files.
I1031 14:35:24.764271 34310 convert_annoset.cpp:195] Processed 98000 files.
I1031 14:35:39.368882 34310 convert_annoset.cpp:195] Processed 99000 files.
I1031 14:35:53.178470 34310 convert_annoset.cpp:195] Processed 100000 files.
I1031 14:36:07.982976 34310 convert_annoset.cpp:195] Processed 101000 files.
I1031 14:36:22.221745 34310 convert_annoset.cpp:195] Processed 102000 files.
I1031 14:36:37.379562 34310 convert_annoset.cpp:195] Processed 103000 files.
I1031 14:36:52.106432 34310 convert_annoset.cpp:195] Processed 104000 files.
I1031 14:37:06.917182 34310 convert_annoset.cpp:195] Processed 105000 files.
I1031 14:37:22.053143 34310 convert_annoset.cpp:195] Processed 106000 files.
I1031 14:37:40.043357 34310 convert_annoset.cpp:195] Processed 107000 files.
I1031 14:37:57.628168 34310 convert_annoset.cpp:195] Processed 108000 files.
I1031 14:38:14.005082 34310 convert_annoset.cpp:195] Processed 109000 files.
I1031 14:38:31.603163 34310 convert_annoset.cpp:195] Processed 110000 files.
I1031 14:38:48.473656 34310 convert_annoset.cpp:195] Processed 111000 files.
I1031 14:39:05.882012 34310 convert_annoset.cpp:195] Processed 112000 files.
I1031 14:39:23.504453 34310 convert_annoset.cpp:195] Processed 113000 files.
I1031 14:39:41.640413 34310 convert_annoset.cpp:195] Processed 114000 files.
I1031 14:39:59.309906 34310 convert_annoset.cpp:195] Processed 115000 files.
I1031 14:40:17.132336 34310 convert_annoset.cpp:195] Processed 116000 files.
I1031 14:40:34.710512 34310 convert_annoset.cpp:195] Processed 117000 files.
I1031 14:40:53.317823 34310 convert_annoset.cpp:195] Processed 118000 files.
I1031 14:40:58.352641 34310 convert_annoset.cpp:201] Processed 118287 files.
/data/home/jeffhzhang/caffe-ssd/build/tools/convert_annoset --anno_type=detection --label_type=json --label_map_file=/data/home/jeffhzhang/caffe-ssd/data/coco/../../data/coco/labelmap_coco.prototxt --check_label=True --min_dim=0 --max_dim=0 --resize_height=0 --resize_width=0 --backend=lmdb --shuffle=False --check_size=False --encode_type=jpg --encoded=True --gray=False /data1/jeffhzhang/data/coco/ /data/home/jeffhzhang/caffe-ssd/data/coco/../../data/coco/train.txt /data1/jeffhzhang/data/coco/lmdb/coco_train_lmdb
